,a,e
319,0.063,0.097
320,0.063,0.097
321,0.063,0.097
322,0.064,0.097
323,0.064,0.097
324,0.064,0.097
325,0.064,0.097
326,0.065,0.097
327,0.065,0.097
328,0.065,0.097
329,0.065,0.097
330,0.065,0.097
331,0.065,0.097
332,0.064,0.097
333,0.064,0.097
334,0.064,0.097
335,0.064,0.097
336,0.064,0.097
337,0.064,0.097
338,0.064,0.097
339,0.064,0.097
340,0.064,0.097
341,0.064,0.097
342,0.064,0.097
343,0.064,0.097
344,0.064,0.097
345,0.064,0.097
346,0.064,0.097
347,0.064,0.097
348,0.064,0.097
349,0.064,0.097
350,0.064,0.097
351,0.064,0.097
352,0.064,0.097
353,0.064,0.096
354,0.064,0.096
355,0.064,0.096
356,0.064,0.096
357,0.064,0.096
358,0.064,0.096
359,0.064,0.096
360,0.064,0.096
361,0.064,0.097
362,0.064,0.097
363,0.064,0.097
364,0.064,0.096
365,0.064,0.097
366,0.064,0.097
367,0.064,0.097
368,0.064,0.098
369,0.064,0.097
370,0.064,0.097
371,0.064,0.097
372,0.064,0.097
373,0.064,0.097
374,0.063,0.097
375,0.063,0.097
376,0.063,0.097
377,0.062,0.097
378,0.062,0.097
379,0.062,0.097
380,0.062,0.097
381,0.062,0.097
382,0.062,0.097
383,0.062,0.097
384,0.062,0.097
385,0.062,0.097
386,0.062,0.097
387,0.062,0.097
388,0.061,0.098
389,0.061,0.098
390,0.061,0.098
391,0.061,0.098
392,0.061,0.098
393,0.061,0.098
394,0.061,0.098
395,0.06,0.098
396,0.06,0.098
397,0.06,0.097
398,0.06,0.097
399,0.06,0.097
400,0.06,0.096
401,0.06,0.096
402,0.06,0.096
403,0.061,0.096
404,0.061,0.096
405,0.061,0.096
406,0.062,0.096
407,0.062,0.095
408,0.061,0.095
409,0.061,0.095
410,0.061,0.095
411,0.061,0.095
412,0.061,0.095
413,0.061,0.095
414,0.061,0.095
415,0.061,0.095
416,0.061,0.095
417,0.061,0.095
418,0.061,0.095
419,0.061,0.095
420,0.061,0.096
421,0.061,0.096
422,0.061,0.095
423,0.061,0.095
424,0.061,0.095
425,0.061,0.095
426,0.061,0.095
427,0.061,0.095
428,0.061,0.095
429,0.061,0.095
430,0.061,0.094
431,0.062,0.094
432,0.062,0.094
433,0.062,0.094
434,0.063,0.094
435,0.063,0.094
436,0.063,0.093
437,0.063,0.093
438,0.063,0.094
439,0.062,0.094
440,0.062,0.094
441,0.062,0.094
442,0.062,0.094
443,0.062,0.094
444,0.062,0.094
445,0.063,0.094
446,0.063,0.093
447,0.063,0.093
448,0.063,0.093
449,0.063,0.093
450,0.062,0.093
451,0.062,0.093
452,0.062,0.092
453,0.063,0.092
454,0.063,0.092
455,0.063,0.092
456,0.063,0.092
457,0.063,0.092
458,0.063,0.093
459,0.063,0.093
460,0.063,0.093
461,0.063,0.093
462,0.063,0.092
463,0.063,0.093
464,0.063,0.092
465,0.063,0.093
466,0.063,0.093
467,0.063,0.093
468,0.064,0.093
469,0.064,0.092
470,0.064,0.092
471,0.064,0.091
472,0.064,0.091
473,0.064,0.091
474,0.064,0.091
475,0.064,0.091
476,0.064,0.091
477,0.064,0.091
478,0.064,0.091
479,0.064,0.091
480,0.063,0.091
481,0.063,0.091
482,0.064,0.091
483,0.064,0.091
484,0.064,0.091
485,0.064,0.091
486,0.064,0.091
487,0.064,0.091
488,0.064,0.091
489,0.064,0.091
490,0.064,0.091
491,0.064,0.09
492,0.064,0.09
493,0.064,0.09
494,0.064,0.09
495,0.064,0.09
496,0.064,0.09
497,0.063,0.09
498,0.064,0.09
499,0.064,0.089
500,0.064,0.089
501,0.064,0.089
502,0.064,0.089
503,0.064,0.089
504,0.065,0.088
505,0.065,0.088
506,0.065,0.088
507,0.065,0.088
508,0.065,0.088
509,0.065,0.088
510,0.066,0.087
511,0.066,0.087
512,0.066,0.087
513,0.066,0.087
514,0.067,0.087
515,0.067,0.087
516,0.067,0.086
517,0.067,0.086
518,0.067,0.086
519,0.067,0.087
520,0.067,0.086
521,0.067,0.086
522,0.068,0.086
523,0.068,0.086
524,0.068,0.087
525,0.068,0.087
526,0.068,0.087
527,0.068,0.087
528,0.067,0.088
529,0.067,0.088
530,0.067,0.089
531,0.067,0.089
532,0.068,0.089
533,0.068,0.089
534,0.068,0.089
535,0.068,0.09
536,0.068,0.09
537,0.067,0.09
538,0.067,0.09
539,0.067,0.09
540,0.067,0.09
541,0.067,0.089
542,0.067,0.089
543,0.067,0.089
544,0.067,0.088
545,0.067,0.088
546,0.067,0.088
547,0.067,0.088
548,0.066,0.088
549,0.066,0.088
550,0.067,0.088
551,0.067,0.088
552,0.067,0.088
553,0.067,0.088
554,0.067,0.088
555,0.067,0.088
556,0.067,0.088
557,0.067,0.087
558,0.067,0.087
559,0.067,0.087
560,0.067,0.087
561,0.067,0.088
562,0.067,0.088
563,0.067,0.088
564,0.067,0.088
565,0.066,0.088
566,0.066,0.088
567,0.067,0.088
568,0.067,0.088
569,0.067,0.088
570,0.067,0.089
571,0.067,0.089
572,0.067,0.089
573,0.067,0.09
574,0.067,0.09
575,0.067,0.09
576,0.067,0.089
577,0.067,0.089
578,0.067,0.089
579,0.067,0.089
580,0.067,0.089
581,0.067,0.089
582,0.067,0.089
583,0.067,0.089
584,0.067,0.088
585,0.067,0.088
586,0.067,0.087
587,0.067,0.087
588,0.066,0.087
589,0.067,0.087
590,0.067,0.087
591,0.067,0.086
592,0.067,0.086
593,0.067,0.087
594,0.067,0.088
595,0.066,0.088
596,0.066,0.088
597,0.066,0.088
598,0.066,0.088
599,0.066,0.087
600,0.066,0.087
601,0.066,0.087
602,0.066,0.088
603,0.066,0.088
604,0.066,0.088
605,0.066,0.088
606,0.066,0.088
607,0.066,0.088
608,0.066,0.088
609,0.065,0.088
610,0.065,0.088
611,0.065,0.089
612,0.065,0.089
613,0.065,0.089
614,0.065,0.089
615,0.065,0.089
616,0.065,0.089
617,0.065,0.09
618,0.065,0.09
619,0.065,0.09
620,0.065,0.089
621,0.065,0.089
622,0.065,0.089
623,0.065,0.089
624,0.065,0.089
625,0.065,0.089
626,0.066,0.089
627,0.066,0.089
628,0.065,0.089
629,0.065,0.089
630,0.066,0.089
631,0.066,0.089
632,0.066,0.09
633,0.066,0.09
634,0.066,0.09
635,0.066,0.09
636,0.066,0.09
637,0.066,0.09
638,0.066,0.09
639,0.066,0.09
640,0.066,0.09
641,0.066,0.09
642,0.066,0.089
643,0.066,0.09
644,0.066,0.089
645,0.066,0.089
646,0.065,0.089
647,0.065,0.089
648,0.065,0.089
649,0.066,0.089
650,0.066,0.089
651,0.067,0.089
652,0.067,0.088
653,0.067,0.088
654,0.067,0.088
655,0.067,0.088
656,0.067,0.088
657,0.067,0.088
658,0.067,0.088
659,0.067,0.088
660,0.067,0.088
661,0.067,0.088
662,0.067,0.088
663,0.067,0.088
664,0.067,0.089
665,0.068,0.089
666,0.068,0.089
667,0.068,0.089
668,0.068,0.089
669,0.068,0.089
670,0.068,0.089
671,0.068,0.088
672,0.068,0.089
673,0.068,0.089
674,0.068,0.089
675,0.068,0.088
676,0.068,0.088
677,0.068,0.088
678,0.068,0.088
679,0.068,0.088
680,0.068,0.088
681,0.067,0.088
682,0.067,0.088
